,Empresa,nome,count_x,count_y,proporcao_nomes_por_qtde_socios
1392,Almofariz Farmacia de Manipulacao Ltda.,Mazza,2,4,50.0
1402,Alpelo Confeccoes e Comercio de Roupas Ltda.,Kim,2,3,66.66666666666666
1405,Alper Re Corretora de Resseguros Ltda.,Alper,1,1,100.0
1409,Alpes Industria e Comercio de Plasticos Eireli,Moacir,1,1,100.0
1416,Alpha Company Facilities Ltda.,Silva,2,2,100.0
1417,Alpha Empresarial Recursos Humanos Ltda.,Andre,1,2,50.0
1422,Alpha Secure Mao de Obra e Facilidades Ltda.,Gomes,1,2,50.0
1426,Alpha Secure Vigilancia e Seguranca Ltda.,Gomes,1,2,50.0
1430,Alpha Servicos Administrativos Licenciamento e Franchising Ltda.,Raquel,1,1,100.0
1432,Alphapiso Tecnologia em Pisos Industriais Ltda.,Felipe,2,2,100.0
1438,Alphaprint Comercio Importacao Exportacao Ltda.,Administrativa,1,3,33.33333333333333
1448,Alpitel Brasil Implantacoes de Sistemas Ltda.,America,1,1,100.0
1451,Als Ambiental Ltda.,009,1,2,50.0
1464,Alta Comercial de Veiculos Ltda.,Altenfelder,5,7,71.42857142857143
1480,Alta Comercial de Veiculos Ltda. Filial,Altenfelder,5,6,83.33333333333334
1493,Altair Engineering do Brasil Sistemas e Servicos Ltda.,Altair,2,2,100.0
1503,Altamira Industria Metalurgica Ltda.,Miranda,4,6,66.66666666666666
1510,Altec Sistemas e Tecnologia Ltda.,Blay,1,2,50.0
1514,Altino Souza Santana Pinturas,Altino,1,1,100.0
1526,Altre Empreendimentos e Investimentos Imobiliarios,Spe,7,8,87.5
1528,Alumileste Industria e Comercio Ltda.,Fabio,1,1,100.0
1538,Aluminio Fulgor Ltda.,Trofa,5,5,100.0
1547,Aluminio Vigor Ltda.,Trofa,5,5,100.0
1549,Alumni Esquadrias de Aluminio Ltda.,Anderson,1,2,50.0
1554,Aluservice - Industria e Comercio Ltda.,Administracao,1,2,50.0
1558,Aluwest Industria e Comercio Ltda.,Castilho,1,1,100.0
1561,Alvarez & Marsal Administracao Judicial Ltda.,Alvarez,1,2,50.0
