Empresa;Principais Executivos
Krona Multi - Gerenciamento de Riscos Ltda.;Moacir Nunes Pinto, Ronaldo Centoducato
Alpes Industria e Comercio de Plasticos Eireli;Moacir Vicentin
Mfs Servicos de Meios de Pagamento Ltda.;Mobile Financial Services Holding
Central Islamica de Alimentos Halal Ltda.;Mohamed Hussein El Zoghbi
Instituto Cohen de Ortopedia, Reabilitacao e Medicina do Esporte Ltda. - em Liquidacao em Liquidacao;Moises Cohen
Empreiteira Construalves Ltda.;Moises Narciso Goncalves da Mota, Rodrigo da Rocha
Ercon Engenharia Ltda.;Moises Ruberval Ferraz Filho, Reynaldo Costa Filho
Gemeos Prestacao de Servicos de Mao de Obra Ltda.;Moises Valentim de Paula
Lojas Puket Ltda.;Mone Gestao de Franquias e Participacoes Eireli
Micheletti Industria e Comercio de Equipamentos Ltda.;Monica Giana Micheletti
Tms Administracao de Garagens e Estacionamentos Ltda.;Monica Regina Turano Bucha, Nair Aparecida Turano, Silvia Regina Turano Andermarchi
Tru Hotelaria Comercio Varejista e Aluguel de Roupa de Cama, Mesa e Banho Ltda.;Monica Souto Cordeiro Pires
D'&Pl Brasil Ltda.;Monsanto do Brasil Ltda. (São Paulo)
Housi S.A.;Montanha Prateada Desenvolvimento Imobiliário Spe Ltda (100.00%)
Moodys Analytics do Brasil Solucoes Para Gerenciamento de Risco de Credito Ltda.;Moodys Overseas Holdings, Inc., Moodys America Latina Ltda.
Tecvoz Eletronicos Ltda.;Moonja Kim
G.W.H.C.- Servicos On-Line Ltda.;Mosaico Tecnologia ao Consumidor S.A.
Motrex do Brasil Industria, Comercio, Importacao e Exportacao de Auto Pecas Ltda.;Motrex Co., Ltd., Yoseoib Lim
Mott Restaurante Ltda.;Mott Participacoes Ltda.
Motul Brasil Lubrificantes Ltda.;Motul S.A., Sociedad Hispano Americana de Lubricantes Sl
Mindray do Brasil - Comercio e Distribuicao de Equipamentos Medicos Ltda.;Mr Development Hk Limited, Mr Global Hk Limited
Construtora Etama Ltda.;Mrg Participacoes Ltda., Plena Participacoes Ltda.
Microsoft Mobile Tecnologia Ltda. Filial;Mshc, Llc
Entersa Engenharia e Mineracao Ltda.;Mucio Aurelio Pereira de Mattos
Arancini Bar e Restaurante Ltda.;Mulignana Holding e Participacoes Ltda.
Muller Martini Brasil Comercio e Representacoes Ltda.;Muller Matini Holding Ag
Murata World Comercial Ltda.;Murata Company Limited, Murata Manufacturing Co., Ltd.
Murex America Latina Licenciamento e Servicos de Software Ltda.;Murex International Luxembourg S.A.
Instituto de Educacao H.O.Amorim Ltda.;Murilo Henrique Piani
Irish Bar Company Ltda.;Mustafa Ali Visserman, Vanessa da Silva Arcanjo
Bioagri Analises de Alimentos Ltda.;Mxns Us Holding Llc, Silliker Brasil Participacoes Ltda
Gertad Seguranca Patrimonial Ltda.;Myrian Telma Aparecida Maria
Confeccoes de Roupas Lsk Ltda.;Myung Jin Lee, Woo Jung Kim
Nexo Jornal Ltda.;N Participacoes Ltda.
Camada Industria e Comercio de Plasticos Ltda.;Nabil Gibrail Hanna, Nadim Gibrail Hanna
Comercial Commed Produtos Hospitalares Ltda.;Nacional Comercial Hospitalar S.A.
Nadia Cristina B Vieira Pace Engenharia Ltda.;Nadia Cristina Bekmessian Vieira Pace
Cta Cargo Travel Air International Ltda.;Nadia Kurkou, Roberto Gueventer
Sacolao e Estacionamento Jobel Ltda.;Nadir de Oliveira Bolognani, Silvana Aparecida Bolognani dos Santos
P.Lorena Eventos e Participacoes Ltda.;Nairus - Ativos e Participacoes Ltda.
P Aff Empreendimentos e Participacoes Ltda.;Nairus - Ativos e Participacoes Ltda.
Kadua Eventos e Gestao Empresarial Ltda.;Nairus - Ativos e Participacoes Ltda.
Gavi Servicos Ltda.;Nalba Maria Roriz Brito
Grupo Fnc Cobrancas Ltda.;Nancy Ferraco Gregnanin
Aluservice - Industria e Comercio Ltda.;Naonis Empreendimentos, Participacao e Administracao Ltda.
Mult Comercial Ltda.;Natalia Andrea Pacheco Alvarez, Neusa Marly Puglieri
Bio Plastic Industria e Comercio de Embalagens Ltda.;Natalia Martins Diniz, Ricardo Luis Signori
Karmani Fashion Ltda.;Natanael Dong Wan Yoo
T M Tanoue Restaurante e Lanchonete Fast Food Ltda.;Nathalia Modena Tanoue, Tomas Massao Tanoue
Eliservice Gestao Empresarial e Comercio de Suplementos Ltda.;Nathalia Oliveira Santos
Bells Servicos de Mao de Obra Ltda.;Nathalie Kimie Teraoka Cury Calia
National Instruments Brazil Ltda.;National Instruments Corporation, National Instruments Europe Corporation
Oki Park Estacionamentos Ltda.;Natsuo Macario Oki
Natura Biosphera Franqueadora Ltda.;Natura Cosmeticos S.A.
Adesso Industria e Comercio Ltda.;Nave Guia - Empreendimentos e Participacoes S.A.
Norwegian Cruise Line Agencia de Viagens Ltda.;Ncl Bahamas Ltd., Ncl International, Ltd.
Wyse Sistemas de Informatica Ltda.;Ncr Brasil Ltda.
Eletrica Neblina Ltda.;Neblina Pecuaria Ltda.
Atacadao Giro Participacoes Ltda.;Nege Abrahao
Endoclinica de Sao Paulo Ltda.;Negri Participacoes Ltda.
Sistema Educacional Satelite Ltda.;Neide Padilha Leite
Rgj Eventos e Locacoes Ltda.;Neide Roschel Alferes Correa, Rogerio Gomes Correa
Promocao Clear Ltda.;Neidi Brionezi
Tecper Fundacoes e Geotecnia Ltda.;Neidyr Cury Filho
Araujo & Augusto Recuperadora de Credito Ltda.;Neildes Araujo Aguiar Di Gesu, Sylvio Augusto Silva Junior
Htcom Comunicacao em Alta Tecnologia Ltda.;Neimar Alencar Medeiros
Strutura Servicos em Pisos Industriais Ltda.;Neirismar Alves Pereira Francisco
Wr2 Euro Empreendimentos Imobiliarios Ltda.;Nelli Incorporacoes Ltda., Renato Mauro, Rosa Maria Mauro Battistuzzi, Up Construtora e Incorporadora Ltda.
Audilink & Cia.Auditores;Nelson Camara da Silva, Roberto Caldas Bianchessi
Clark Tecnologia Quimica, Industria e Comercio Ltda.;Nelson Clark Engenharia, Industria e Comercio Ltda., Nelson Perella Clark
Colegio Santa Rita de Cassia Ltda.;Nelson Costa
Logitec Servicos Tecnicos Ltda.;Nelson Faccioli Rebelo
N.Ferraz Beneficiamentos de Metais Ltda.;Nelson Ferraz Filho
Brasil Ponto Digital - Certificado e Solucoes Empresariais Ltda.;Nelson Gomes Lima
Ls Comercio e Servicos Ltda.;Nelson Holzchuh, Valquiria de Fatima Leles
Comercio de Equipamentos Norte Sul Ltda.;Nelson Itsuro Mashiba, Comercio de Equipamentos Norte Sul Ltda.
Project Explo Consultoria e Treinamento Ltda.;Nelson Mario Lopez Munoz, Nelson Ruben Lopez Gonzalez, Paula Andrea Lopez de Oliveira Simoes
Guindal Guindastes e Transportes Ltda.;Nelson Marques Rolo Junior, Rui Eduardo Angelo D' Alpino
Neo - Pack -Industria e Comercio Ltda.;Nelson Martins
Nnj Alimentacao Nordeste Ltda.;Nelson Navarausky Junior
Glory World Alimentacao Ltda.;Nelson Navarausky Junior
Nnj Alimentacao Ltda.;Nelson Navarausky Junior
Nar Suprimentos Medicos Ltda.;Nelson Pescara Filho, Priscila Bernardo Pescara, Suprimed Participacoes S.A.
No Fire Services Sistemas de Seguranca Ltda.;Nelson Reple Neto
Multibens - Companhia Securitizadora de Creditos Financeiros;Nelson Rosa Junior
Tudo Bem Tudo Bom Comercio Ltda. - em Recuperacao Judicial;Nelson Volpato, Blue Bird Participacoes Ltda. em Recuperacao Judicial
Nza Instalacoes Comerciais Ltda.;Nelson Zacarias Aristakessian
Frattina Comercio de Joias Ltda.;Nena Participacoes Ltda., Zel Participacoes Ltda.
Ultramontani Comercio de Joias Ltda.;Nerces Vartanian
Nova Atelier Comercio e Industria de Joias Ltda.;Nerces Vartanian
Bovinus Reboucas Churrascaria Ltda.;Nerildo Chiesa, Paulo Delmir Gandin
Chail Distribuidora de Veiculos Ltda.;Nessim Cesar Azar, Shalu Participacoes Ltda.
Angular Comercio e Servicos Ltda.;Nestor Lourenco de Camargo
Netpartners Consultoria e Sistemas Ltda.;Netpartners Participacoes S.A.
Fastmind Gestao Estrategica de Custos Eireli;Netsul Informatica Ltda.
Neade Industria e Comercio de Produtos Para Elevacao e Movimentacao de Cargas Ltda.;Neusa Castanha Broglio
Euro Brake Comercio, Importacao e Exportacao Ltda.;Neuza de Padua Coelho Schwind, Stephan Walter Schwind, Vivian Schwind
New Comercio, Industria, Importacao e Exportacao Inc.Ltda.;New Doors Participacoes Ltda.
Suvifer Industria e Comercio de Ferro e Aco Ltda.;Newe Participacoes S/C Ltda., Soluk Participacoes S/C Ltda., Yotu Participacoes S/C Ltda.
Brz Experts Ltda.;Newton Jose Maier Borelli, Pedro Ivo Quintana de Oliveira
H V Comercio Importacao e Exportacao Ltda.;Newton Martins
Lunicorte Industria e Comercio de Laminados Ltda.;Newton Roberto Longo
Cruzeiro/Newmarc Patentes e Marcas Ltda.;Newton Silveira, Wilson Silveira
Yassaka Consultoria e Treinamento em Gestao Empresarial Ltda.;Nexyal Participacoes Ltda., Tais Rocha de Lima Yassaka
Lealteck Servicos Especializados - Eireli;Neyde de Campos Leal
Crm Comercio Varejista de Doces Ltda.;Nibs Participacoes S.A.
Nra Engenharia e Comercio Ltda.;Nicanor Cordeiro De Abreu (35.00%)
Dalgas Industria e Comercio de Equipamentos Ltda.;Nicholaas Walter Fuldauer, Paulo Axel Ferrez Dalgas Frisch
Nicoll Industria Plastica Ltda.;Nicoll do Brasil Participacoes Ltda., Nicoll Peru S.A., Panningen Finance Bv
Eletro Fusi Industria Eletrometalurgica Ltda.;Niki Mbakirtzis, Nikolaos Michel Mbakirtzis
Nikolaos Performance Construcoes Ltda.;Nikolaos Empreendimentos e Participacoes S.A., Norcon Sociedade Nordestina de Construcoes S.A.em Recuperacao Judicial
Nucleo Racine de Educacao e Apoio Academico Ltda.;Nilce Cardoso Barbosa, Sergio Slan Zarwar
Incentivare Brasil Viagens e Turismo Ltda.;Nilda Cristina Mozzoni Pappas, Paulo Cesar Mozzone
Exchange Informatica Sociedade Simples Ltda.Unipessoal;Nildo Iorio Filho
Merlini Engenharia de Seguranca e Planejamento Ltda.;Nilson Achiles Merlin, Valdemir Silva Miranda
Line Up Comercio de Eletronicos e Representacoes Ltda.;Nilson Tocuo Fujisawa, Line Up Comercio de Eletronicos e Representacoes Ltda.
Versa Lab Laboratorio Optico Ltda.;Nilva Seibold
Uniepre - Centro de Desenvolvimento Infantil S/S Ltda.;Nina Barcessat Vasconcellos
Uv Pack Comercio e Servicos de Acabamentos Graficos Ltda.;Ninian Rorie Stewart Richardson
Nippon Steel Tubos do Brasil Ltda. - em Liquidacao;Nippon Steel Corporation, Nippon Steel Logistics Co., Ltd.
Mt4 Tecnologia Ltda.;Nisan Llc
Morelate Distribuidora de Auto Pecas Ltda.;Nivaldo Jose Moreira
Ss Participacoes Ltda.;Nnc Participacoes Ltda.
Nomura Securities Representacao Ltda.;Nomura Automation Management Inc., Nomura Holding America Inc.
Henrifarma Produtos Quimicos e Farmaceuticos Ltda.;Norberto Fabio Frisoni
Odfjell Brasil Ltda.;Norfra Shipping As, Odfjell Se
Noritsu do Brasil Comercio Ltda.;Noritsu America Corporation
Pico Supermercados Ltda.;Norma Antoine Antanios
Eliana Mariani Pellizon Ltda.;Norma Mariani Pellizon
Europackne Nordeste Industria e Comercio de Produtos Termoplasticos Ltda.;Norpack Industria e Comercio de Produtos Plasticos Ltda., Norpack Industria e Comercio de Produtos Plasticos Ltda.
Etek Novared Brasil Ltda.;Novared Chile S.A.
Novares do Brasil Industria Automotiva Ltda.;Novares Group, Thierry Pierre Manni
Rodobase Transportes, Comercio e Servicos Ltda.;Novos Horizontes Participacoes e Empreendimentos Ltda.
Circana Brasil Servicos de Pesquisa de Mercado Ltda.;Npd Group,Incsucessora da The Npd Group Wor, Tod Stuart Johnson
Caravellas Transportes e Turismo Ltda.;Nrk Participacoes Ltda., Matriz Consultoria e Participacoes Ltda.
Buonny Tecnologia Ltda.;Nstech Gr Ltda.
Eixo Confeccoes Eireli;Ntk Participacoes Eireli
Ntt do Brasil Servicos de Comunicacao Na Nuvem Ltda.;Ntt do Brasil Servicos de Comunicacao Na Nuvem Participacoes Ltda.
Totalip Comunicacao Multimidia Ltda.;Nube Nucleo Brasileiro de Estagios Ltda.
Nuernbergmesse Brasil - Feiras e Congressos Ltda.;Nuernbergmesse Beteiligungs-Gmbh, Nuernbergmesse Gmbh
Numen It Solucoes em Tecnologia Ltda.;Numen Holding e Consultoria Empresarial Ltda.
Nuno - Industria de Cosmeticos Ltda.;Nuno Mario Vicente
Br Beauty Cosmeticos, Comercio, Importacao e Exportacao Ltda.;Nuova Participacoes S.A.
Nutanix Brazil Technologies Ltda.;Nutanix, Inc.
Nutrimed Industrial Ltda.;Nutricia Intl.B V, Support Produtos Nutricionais Ltda.
Starplus - Servicos em Alimentacao Ltda.;Nutriplus Alimentacao e Tecnologia S.A.
Loren Serv - Servicos e Comercio Ltda.;Nutriplus Alimentacao e Tecnologia S.A.
Presidente Altino Participacoes e Comercializacao de Imoveis Proprios Ltda.;Nvh Participacoes Ltda., Graber Sistemas de Seguranca Ltda, Top Service Servicos e Sistemas S.A.
Ecopolo Gestao de Aguas, Residuos e Energia Ltda.;Nvh Participacoes Ltda., Top Service Servicos e Sistemas S.A.
Nynas do Brasil, Comercio, Servicos e Participacoes Ltda.;Nynas Ab, Nynas Oil Import Ab
Code It Solutions Consultoria em Desenvolvimento de Software Ltda.;Objective Participacoes Ltda.
Ossa Brasil Consultoria em Obras Subterraneas Ltda.;Obras Subterraneas, S.A.
Jellyfish Brasil S.A.;Ocapi Servicos de Informacao Ltda.
Ocp Fertilizantes Ltda.;Ocp International Cooperatieve U.A.
Pmk Digital Marketing Ltda.;Odair Cerdeira Gutirres
Odebrecht Realizacoes Sp 32 - Empreendimento Imobiliario Ltda.;Odebrecht Realizacoes Sp 54 - Empreendimento Imobiliario S.A.
Tres Passos Alimentos Ltda.;Oesa Comercio e Representacoes S.A.
Oesia Networks do Brasil Ltda.;Oesia Colombia S.A., Oesia Networks S L, Tecnobit Sl
Radio Eldorado Ltda.;Oesp Midia S.A., S.A. o Estado de Sao Paulo
Oia Global Logistica Ltda. Filial;Oia Global Holdings Europe Ltd.
Tmk 14 Servicos de Buffet e Eventos Ltda.;Olavo Hourneaux de Moura Filho
Nordika do Brasil Consultoria Ltda.;Ole Broch
Openlink International Tecnologias em Financas Ltda.;Olfi Lux Intermediate Holdings Sarl
Cpv Educacional - Ensino Fundamental e Medio Ltda.;Olga Birkenstein
Obragen Engenharia e Construcoes Ltda.;Olimpia Malheiros Velletri, Ulisses Malheiros
Broadtec Tecnologia e Servicos Ltda.;Olivia Cristina de Castro Araujo, Ronan Jose do Amaral Junior
Editora Vida Ltda.;Omar Ruben Daldi, Sergio Henrique de Lima, Vicente Daniel Barcellona
Melbourne Investimentos Imobiliarios Ltda.;Omega Investimentos Imobiliarios Ltda.
Del Sol Odontologia Ltda.;Omint Servicos de Saude Ltda.
Onmobile Brasil Sistemas de Valor Agregado Para Comunicacoes Moveis Ltda.;Onmobile Global Limited
Partner Security Servicos de Seguranca Ltda.;Onofre Biceglia Netto
3A Calcados e Confeccoes Ltda.;Onorina Martins Pereira
Opea Assessoria de Credito Ltda.;Op01 Companhia Securitizadora de Creditos Financeiros
Interglobo do Brasil - Logistica Internacional Ltda.;Opr Interglobo - Logistica Internacional Ltda.
Option Comercio, Importacao e Servicos de Informatica e Internet Ltda. em Recuperacao Judicial;Option do Brasil Comercio, Importacao e Servicos de Informatica e Internet em Recuperacao Judicial Ltda., Ots Option Telecom Servicos de Telecomunicacoes em Recuperacao Judicial Ltda.
Spcia 03 - Empreendimento Imobiliario Ltda.;OR Empreendimentos Imob e Participações S.A.
Acrescenta Alto Desempenho em Servicos Empresariais Ltda.;Ordival Florencio
Organizacao Farmaceutica Nakano Ltda. (CNPJ:06079193/0001-02);Organizacao Farmaceutica Nakano Ltda. (São Paulo)
Ponto Veiculos S.A.;Original Holding S.A.
Mais Proxima Comercial e Distribuidora Ltda.;Orium Participacoes S.A.
Techway Instalacoes e Manutencao Predial Ltda.;Orlanda Conilho Barbosa
Carci Industria e Comercio de Aparelhos Cirurgicos e Ortopedicos Ltda.;Orlando de Carvalho
Pixie Artemoda Ltda.;Orlando Di Nardi Junior
Empreiteira Bragantina Ltda.;Orlando Galdino de Sousa, Saulo Luiz Apolinario
Escola Paulista de Educacao Basica Ltda.;Orlando Pires, Regina do Carmo Cataldi
First Medical Service Ltda.;Orlei Seiler Barbosa
Ormazabal do Brasil Equipamentos de Distribuicao de Energia Eletrica Ltda.;Ormazabal Electric, S.L., Ormazabal International Business, S.L.U.
Vivace Residencial Para Idosos Ltda.;Orpea Ehpad Brasil Investimentos e Participacoes Ltda.
C.I.A.I Centro Integrado de Atendimento ao Idoso Ltda.;Orpea Ehpad Brasil Investimentos e Participacoes Ltda.
Orthofix do Brasil Ltda.;Orthofix International B.V.
Ortocity - Servicos Medicos Ltda.;Ortopedia do Brasil S.A.
Directnet Prestacao de Servicos Ltda.;Oscar Armando Garcia Montoya, Neovia Telecomunicacoes S.A.
Soeng Eh Projetos Ltda.;Oscar Morio Tsuchiya
Attow Automotive Industria e Comercio Ltda.;Osmar Fernandes Sobrinho
Iguape Distribuidora de Hortifruti Ltda.;Osvaldo Batista, Roselaine Chicharo Batista
Metalurgica Jorba Industria e Comercio Ltda.;Osvaldo Jorge Junior
Rjh Prestacao de Servicos de Portaria e Limpeza Ltda.;Oswaldo Aparecido da Silva, Belga Plus Prestacao de Servicos de Portaria e Limpeza Eireli
Belgamax Servicos Ltda.;Oswaldo Aparecido da Silva, Belga Plus Prestacao de Servicos de Portaria e Limpeza Eireli
Seta Organizacao Contabil em Recuperacao Judicial Ltda.;Oswaldo Caciello
Credit Brasil Fomento Mercantil S.A.;Oswaldo Eiti Acakura
Ds Organizacao e Manutencao de Produtos Ltda.;Oswaldo Franco do Amaral
Roht Confeccoes Industria e Comercio Ltda.;Oswaldo Hungaro Filho
R.Comunicacao e Marketing Ltda.;Otavio Augusto Correa Dias
Instaladora Drywall-Paulista Ltda.;Otavio del Nero Rocha
Marsam Refinadora de Metais Ltda.;Otavio Surian Matias, Sarah Janaina Almeida Frederico Westphal
Outbrain Services Monetizacao de Conteudo Ltda.;Outbrain Inc., Outbrain Uk Limited
Global Care Assistencia Domiciliar Ltda.;P Par Participacoes Ltda.
R2Tech Informatica Ltda.;Pagseg Participacoes Ltda.
Pagseguro Tecnologia Ltda.;Pagseg Participacoes Ltda.
Liss Comercio, Importacao e Exportacao Ltda.;Pai Chen Pao Lin, Pai Jung Fa
Carpenter Marsh Fac Brasil Corretora de Resseguros Ltda.;Pallas Marsh Servicos Ltda., Marsh Corretora de Seguros Ltda.
Panasonic Distribuidora do Brasil Ltda.;Panasonic Do Brasil Limitada
Santo Alberto Tecnologia da Informacao Ltda.;Panbras Comercio Exterior do Brasil Ltda., Financap S.A.Administracao-Comercio, Ls Litoral Sul Assessoria Com e Representacoes Ltda.
Cyrenes Cantina e Pizzaria Ltda.;Paola Tarallo Altieri
Controlid Industria, Comercio de Hardware e Servicos de Tecnologia Ltda.;Papaiz - Udinese Metais Industria e Comercio Ltda.
Partage Administracao de Shopping Center Ltda.;Partage Empreendimentos e Participacoes S.A., Triage Empreendimentos e Participacoes S.A.
Partners Group Brazil Investimentos Ltda.;Partners Group Ag, Partners Group Holding Ag
Instaladora Nova Abilio Ltda.;Patricia Aparecida Diniz, Rodrigo Abilio
Platinum Mario Vicente Empreendimentos Imobiliarios Spe 16 Ltda.;Patricia Cimatti, Rogerio Cimatti, Valeria Cimatti
Intermediacao Negocios Ltda.;Patricia Margotti Marochi
Tamarindo Design Ltda.;Patricia Pinheiro de Andrade Barifouse
Pitangui Molduras e Decoracoes Ltda.;Patricia Regina de Siqueira Pitangui Viegas
Up School Bercario, Educacao Infantil e Fundamental Bilingue Ltda.;Patricia Said Lozano
Plr Transportes Ltda.;Paula Aparecida Souza Crott Belao
Pcs Transportes Ltda.;Paula Cristina da Silva
Ndc Tecnologia e Informatica Ltda.;Paula Cristina Marques Branco de Araujo
Arq Solucoes em Servicos Ltda.;Paula Neri Duque
Industria e Comercio de Corantes Tupy Ltda.;Paulina Neyde Beltrame Romano, Valney Beltrame Romano
Consorcio Estacon - Paulitec;Paulitec Construcoes Ltda.
Valdequimica Produtos Quimicos Ltda.;Paulo Aparecido Perez Martins (50.00%)
Carisma Comercio de Brinquedos Ltda.;Paulo Baltazar Celestino
Jl Budoia Panificadora Ltda.;Paulo Carvalho Budoia
Rastrecall - Sp Representacoes Comerciais de Telecomunicacoes Ltda.;Paulo Cesar Fernandes Junior, Rastrecall Representacoes Comerciais de Telecomunicacoes Ltda.
Prime Trade Inteligencia em Trade Marketing Ltda.;Paulo Cesar Martins, Simone Ferreira Pereira de Morais
Sp Assessoria Contabil S/S;Paulo Cesar Pereira, Paulo Cesar Pereira Junior
Fapark S.A.Paulo Estacionamentos Ltda.;Paulo Cesar Ribeiro, J.C.N Estacionamentos e Garagens Ltda.
Ptf Alimentacao Ltda.;Paulo Cesar Sallum
Provecto Planejamento de Interiores Ltda.;Paulo Cezar Padilha Garcia
Molin do Brasil Comercial e Distribuidora Ltda.;Paulo da Silva Santos, Ricardo Filipe Machado Santos
Construclima Engenharia e Instalacoes Ltda.;Paulo Eduardo Ruba, Simone Pereira Ruba
V Thome Ltda.;Paulo Eduardo Thome
Tess Models Produtos Fotograficos Ltda.;Paulo Henrique Albuquerque da Silva
Mc Promotora de Vendas Ltda.;Paulo Henrique Camargo Costa
New Sound Projetos e Comercio de Audio e Video Ltda.;Paulo Henrique de Souza Silva
Sacolao Vila Madalena Ltda.;Paulo Henrique Pugliesi Sanches
Urban Solutions Consultoria e Solucoes Estrategicas Ltda.;Paulo Hiroshi Takito
Eletrox Hoteis Ltda.;Paulo Ionescu
Steel Prestacao de Servicos Ltda.;Paulo Lima da Silva
Tema Recursos Humanos e Assessoria de Servicos Ltda.;Paulo Magalhaes
Brasil Dental Servicos Compartilhados Ltda.;Paulo Otavio Montalvao Camisotti, Pmc Participacoes Ltda.
Araucaria Saneamento S.A.;Paulo Roberto de Oliveira
Oops Decoracao de Festas e Eventos Ltda.;Paulo Roberto dos Santos
W.R.A.Fitness e Participacoes Ltda.;Paulo Roberto Egydio de Oliveira Carvalho
Alpha Secure Vigilancia e Seguranca Ltda.;Paulo Roberto Gomes de S.A., Secure Participacoes Ltda.
Alpha Secure Mao de Obra e Facilidades Ltda.;Paulo Roberto Gomes de S.A., Secure Participacoes Ltda.
Preserv Prestadora de Servicos de Mao de Obra Efetiva Na Construcao Civil Ltda.;Paulo Roberto Viana Moretti
Blw Comercio de Produtos Oticos e Representacao Comercial Ltda.;Paulo Rogerio Girasol
Sol Nascente Promocao de Vendas Ltda.;Paulo Seixas de Oliveira
Mapa Servico de Alimentacao Ltda.;Paulo Sergio Alves, Embu Participacoes e Empreendimentos Ltda., Itaim Participacoes e Empreendimentos Ltda.
Pinturas Brasil Ltda.;Paulo Sergio Armani Nora
P.S Guimaraes Servicos Ltda.;Paulo Sergio Guimaraes
Accurate Software Ltda.;Paulo Sergio Martins, Ricardo de Paola
Parkstar Estacionamento Ltda.;Paulo Sergio Quagliato
Fit Plast Auto Adesivos Ltda.;Paulo Sergio Rivani, Thiago da Silva Rivani
Galetos Ltda.;Paulo Sergio Simoes Gala, Galmark Empreendimentos e Participacoes Ltda.
Supermercado Peri Ltda.;Paulo Tadao Yokoi, Prihld Participacoes S.A.
Ad Labor Prestacao de Servicos Ltda.;Paulo Tadeu Sampaio Vitale, Ronaldo Vitale Sandri
Plena Terceirizacao de Servicos Ltda.;Paulo Troise Voci
Gepark Estacionamentos Ltda.;Pb Administradora de Estacionamentos Ltda.
Master Empreendimentos Urbanos Ltda.;Pb Administradora de Estacionamentos Ltda., Pb Participacoes S.A.
Pca Engenharia de Software Ltda.;Pca Participacoes Ltda.
Supermercado Perola de Guaianazes Ltda.;Pchld Participacoes S.A., Gmzhld Participacoes S.A.
Casapsi Livraria e Editora Ltda.;Pearson Education Limited
Interlab Distribuidora de Produtos Cientificos Ltda.;Pedro Alejandro Ynterian (51.00%)
Brinque-Book Editora de Livros Ltda.;Pedro David de Sanson Camanho, Ricardo Belotti, Suzana Taves David de Sanson, Editora Schwarcz S.A.
Phenix - Comercio, Locacoes, Logistica, Servicos & Transportes Ltda.;Pedro Eduardo Mulotto Filho
Biofruti Comercio de Frutas Ltda.;Pedro Fernandes Barrocal Junior, Pfbj Participacoes Ltda.
Pop Gelo Industria e Comercio Ltda.;Pedro Fernandes Serra, Reinaldo Fernandes Serra
Kings Governanca de Servicos Eireli;Pedro Garrido de Castro Reis
Glt Limpeza Tecnica Ltda.;Pedro Geretto Junior
Transportes de Agua Santo Elias Ltda.;Pedro Januario de Andrade Souto
Aventura Prestadora de Servicos Ltda.;Pedro Lucas Gomes
Fundacao Fe e Alegria do Brasil;Pedro Pereira da Silva
Antlia Servicos de Tecnologia e Informatica Ltda.;Pedro Vitoretti Junior, Rosangela Neves Felicio Vitoretti
Zogbi Engenharia e Construcoes Ltda.;Pedro Zogbi Junior
Mimo Importacao e Exportacao S.A.;Peilin Xing, Xiang Zhao
Construtora Progredior Ltda.;Peniche Participacoes S.A., Sirmione Participacoes S.A.
Parque Colinas de S.A.Francisco e Ginastica Ltda.;Pequetita Participacoes Ltda., Runpar Participacoes e Empreendimentos Ltda., Tupiguaes Participacoes Ltda., Morumbi Fitness Participacoes Ltda., Square Participacoes Ltda.
Perstorp Quimica do Brasil Ltda.;Perstorp Aktiebolaget, Perstorp Specialty Chemicals Ab
Centro de Saude Animal Jardins Ltda.;Pet Shop Dr.Hato Ltda.
Compex Tecnologia Ltda.;Peter Yaw Sian Lee, Suzana Chao Lee
Petlove Saude Ltda.;Petlove Cayman, Ltd.
Petroplus Distribuidora e Importadora Ltda.;Petroplus Produtos Automotivos Ltda.
Phadia Diagnosticos Ltda.;Phadia Ab, Phadia Holding Ab
Rossetti Consultoria de Marketing Ltda.;Pharmexx Participacoes Ltda.
Pharm-Olam- Servicos Clinicos Ltda.;Pharm-Olam Minority Holdings, L.L.C., Pharm-Olam, Llc
Netpro Servicos e Comercio de Informatica Ltda.;Piero Andreazzoli
Eletro Mecanica Barbanera Ltda.;Pietro Barbanera
Opland Servicos de Apoio Predial Ltda.;Pimonte Participacoes Ltda.
Swil Brasil Participacoes Ltda.;Ping Pong Sourcing Limited, Swil Ag
Liws Participacoes Ltda.;Ping Pong Sourcing Limited, Swil Ag
Pinterest Servicos de Tecnologia Ltda.;Pinternational, Inc.
Servlot - Servicos e Sistemas Operacionais Ltda.;Piranambu Participacoes S.A., Crismapar Participacoes S.A.
Movicarga Comercio e Locacao de Bens Ltda.;Pirangy Empreendimentos e Participacoes S.A.
Pirelli Latam Participacoes Ltda.;Pirelli & C.S.P.A., Pirelli Tyre S.P.A.
Plano Amoreira Empreendimentos Imobiliarios Ltda.;Plano & Plano Construcoes e Participacoes Ltda.
Cyrela Suecia Empreendimentos Imobiliarios Ltda.;Plano & Plano Construcoes e Participacoes Ltda.
Plano Flamboyant Empreendimentos Imobiliarios Ltda. (São Paulo);Plano & Plano Construcoes e Participacoes Ltda., Plano & Plano Incorporacoes Ltda., Plano & Plano Construcoes e Participacoes Ltda.
Plano & Vendas Consultoria de Imoveis Ltda.;Plano & Plano Desenvolvimento Imobiliário S.A.
Plano Eucalipto Empreendimentos Imobiliarios Ltda.;Plano & Plano Incorporacoes Ltda., Plano & Plano Construcoes e Participacoes Ltda.
Consorcio Via Planova II;Planova Planejamento e Construções S.A., Via Engenharia S.A.
