Empresa;Principais Executivos
Genesis Servicos e Transportes de Cargas Ltda.;Adao Vieira de Araujo
13A Informatica e Material de Escritorio Ltda.;Adauto Costa Santos, Aldo Costa Santos
Spa Ren Tratamentos e Beleza Ltda.;Adauto Godoy
Transportes Guabeira Ltda.;Adeilda Araujo de Almeida Queiroz, Andre Carlos de Queiroz, Daniel Almeida de Queiroz
Prime Contabilidade S/S Ltda.;Adeilton Miguel da Silva
Servitec Sistemas Ltda.;Adelaine Marly da Terra Caldeira Sette
Transportadora Cemil Ltda.;Adelfes Participacoes Ltda., Senges Participacoes Ltda.
Patamar Locadora de Equipamentos Ltda.;Adelianes Thums, Andreia de Fatima Thums
Kpmg Corporate Finance Ltda.;Adelino Dias Pinho, Adriane de Souza Farias, Alan Medina Riddell, Alberto Bressan Filho, Alberto Spilborghs Neto, Alceu Landi, Andre Coutinho, Anselmo Louzada, Antonio Marcos Orlando, Carlos Alberto Rojas Moreno, Carlos Eduardo Cardoso, Carlos Eduardo Munhoz, Carlos Eduardo Ottoni da Silva, Carlos Henrique do Amaral Cypriano, Claudio Jose Biason, Claudio Rogelio Sertorio, Claudio Segundo Gavioli, Cristiano Francisco Garcia, Daniel Cifu, Danilo Siman Simoes, David Bunce, Derek Talbot Barnes, Diogo Garcia Barbuda Correia, Eduardo Chapuis Casamayou, Ericson Gama Amaral, Fabio Fervenca Henriques, Fabio Silveira Franco e Silva, Fernando Afonso Camargo Silva de Brong Mattar, Fernando Henrique Yoshida de Souza, Fernando Jun Miranda Omori, Fernando Octavio Sepulveda Munita, Flavio Eric Tamura, Franceli Reis Jodas, Francesco Luigi Celso, Frank Meylan, Gabriel Chamadoira Carracedo, Gisela Ribeiro dos Santos Vasconcellos, Giuseppe Masi, Guilherme Henrique de Almeida, Haroldo de Oliveira Maggi, Hildebrando Oliveira de Abreu, Hilton Mendes de Sousa, Isaias Feigenson, Itanel Felippe Simao, James Francis King, Jean Paraskevopoulos Neto, Jeremy Nicolas Taylor, Jeri Kay Calle, Joao Bruno Cruz, Jorge Martin Oviedo, Jose Carlos Alves Simoes, Jose Gilberto Montes Munhoz, Jose Luiz Saicali, Jose Roberto Adelino da Silva, Jose Wilson Munari, Julio Cesar Ruiz Tsukazan, Julio Chamarelli de Cepeda, Karsten Pieper, Laryssa Lomeu Rodrigues Macedo, Lino Campion, Lucas Costa Ventura, Lucio Aparecido Alves Anacleto, Luis Alexandre Betaressi, Luis Augusto Motta Pinto da Luz, Luiz Renato Guimaraes Pereira, Marcelo Antonio Ramos Esteves, Marco Andre Coelho de Almeida, Marco Antonio Muzilli, Marcos Fugita, Marcos Hideki Kakinohana, Maria Isabel Reis Ferreira Barbosa, Marienne Mendonca Shiota Coutinho, Mario Roberto Antunes Braga, Mateus Ramos Silva Carvalho, Mauricio Amaro da Silva, Murilo Rodrigues de Mello, Odair Correa da Silva, Osana Maria da Rocha Mendonca, Paula Goncalves Ragazzi, Paulo Guilherme de Menezes Coimbra, Paulo Rogerio Ferezin, Pedro Rodrigues Anders, Plinio Biscalchin, Professional Development Services Incorporated, Roberto Alves da Cunha, Sergio de Jesus, Sergio Martigli, Sidney Tetsugi Toyonaga Ito, Simon Mark Fishley, Stephen Charles Rimmer, Timothy James Young, Toshiharu Fujii, Yoshinori Amano, Zenko Nakassato, Kpmg Corporate Finance Ltda.
Cerejeiras Administracao e Participacao Ltda.;Adelino Gomes Arantes Filho, Adelino Gomes Arantes Neto, Ana Cristina Izu Medeiros, Daniel Gomes Arantes, Helia Clivatti Arantes, Suemy Cioffi Izu Milanese
Colegio Sapucaia Ltda.;Adelino Guerra Filho, Andreia Cristiane Guerra
Padaria e Confeitaria Flor de Coimbra Ltda.;Adelino Pereira do Vale, Mariana de Fatima Vitek do Vale, Yvo Eurico dos Santos
Bravium S.A.;Adelmo Hideyoshi Inamura, Fellippe Gustavo Buhrer, Fernando Augusto Rossi Auresco, Igor Petean Trazzi de Souza, Lucas Oliveira Ribeiro Marujo, Marcelo Ozino Caligaris, Rafael dos Reis Ratis, Ricardo Marques Garcias, Wildiner Estainer Batista, Tecnologia Unica Servicos de Informatica Ltda.
Vidi Pesquisa e Desenvolvimento Ltda.;Adelmo Morfeu Guimaraes, Fabricio Freitas dos Santos, Juliana Costa Simao Silveira, Marco Flavio de Menezes Cardoso, Marcos Roger Versteeg, Milly Miyuki Ogusco, Patricia de Campos Reis Rostock, Sineia Ahmad Kadri, Vanessa Benito Ribeiro
Planned Consultoria Tributaria Contabil e Empresarial S/S;Adelmo Nunes Pereira, Luciene Oliveira D' Alexandre
M3Corp Solucoes Personalizadas em Internet Ltda.;Adelor Clovis Elias Junior, Antonio Carlos Mocelim Junior, Laercio Marcks, Vinicius Maciel Simchak
Visar Transportes Ltda.;Ademar Lacerda de Cerqueira, Fernanda Sena Lacerda
Elitec do Brasil Comercio e Servicos de Sistemas de Seguranca Ltda.;Ademilson Roriz Cardoso, Josuel Vaz, Santo Florio Neto
Password Manutencao de Sistemas Ltda.;Ademir Aparecido Benfica, Erica Maria Barbosa Benfica
Nevio & Moya Artefatos de Aluminio Ltda.;Ademir Aparecido Moya, Airton Aparecido Juares Paulo, Maria Ines Juares Paulo Fernandes, Odair Moya, Vanderley Fernandes
Sociedade Educacional Professora Luiza Ozelim Montaldi Ltda.;Ademir Morales, Luiza Ozelim Montaldi, Miriam Aparecida Montaldi Morales
A3 Contabilidade & Auditoria Sociedade Simples Ltda.;Ademir Oliveira Rodrigues, Ailton Fernando de Souza
Qually Apoio Logistico Ltda.;Ademir Pinheiro da Silva
Organizacao Contabil Rm S/S;Ademir Rodrigues, Carlos Rogerio Moreira
Colegio Tobias de Aguiar Ltda.;Adeneia Carvalho Santana, Marcia Cristina Luiz Galhardo
Escola de Educacao Infantil e Ensino Fundamental Luz do Futuro Ltda.;Aderaldo Gouveia do Nascimento, Lucimara da Silva Gouveia do Nascimento
Cenenorte Centro de Nefrologia Zona Norte Ltda.;Aderbal Angelo Nastri, Jose Rubens Rodrigues do Nascimento, Virgilio Fernandes
Arantes Alimentos Ltda.;Aderbal Luiz Arantes Junior, Danilo de Amo Arantes
Ibc-Industria Brasileira de Cigarros Ltda.;Aderenilson Santos de Santana, Antonio Simplicio Gomes da Silva Neto
